raw_input,expected_degree,predicted_degree,expected_field,predicted_field,status,layer_used,confidence,fuzzy_score,error_category
"Education: b.tech/be, C.S.E, Anna University, batch of 2019.",Bachelor of Technology,Bachelor of Engineering,Computer Science and Engineering,Computer Science and Engineering,review_needed,L2,0.7,70.0,wrong_degree
Graduate of Pune University; qualification B  Tech (C.S.E.).,Bachelor of Technology,,Computer Science and Engineering,Computer Science and Engineering,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing B Tech (Hons) with specialization in Information Technology at University of Mumbai.,Bachelor of Technology,with specialization,Information Technology,Information Technology,review_needed,L3,0.62,62.0,wrong_degree
Kabir holds a b.tech/be degree in I.T.,Bachelor of Technology,Bachelor of Engineering,Information Technology,Information Technology,review_needed,L3,0.75,75.0,wrong_degree
"Education: B  Tech, I.T., Pune University, batch of 2020.",Bachelor of Technology,,Information Technology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
I completed my B Tech (Hons) in ECE from University of Mumbai in 2018.,Bachelor of Technology,Master of Science,Electronics and Communication Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Currently pursuing b.tech/be with specialization in E.C.E at Anna University.,Bachelor of Technology,Bachelor of Engineering,Electronics and Communication Engineering,Electronics and Communication Engineering,review_needed,L3,0.75,75.0,wrong_degree
Neha holds a B  Tech degree in electronicsandcommunication.,Bachelor of Technology,Bachelor of Technology,Electronics and Communication Engineering,,review_needed,L3,0.72,72.0,wrong_field
"Education: BTech/BE, Electronics & Communication, Amity University, batch of 2021.",Bachelor of Technology,Bachelor of Engineering,Electronics and Communication Engineering,Electronics and Communication Engineering,review_needed,L2,0.7,70.0,wrong_degree
I completed my b.tech/be in E.E from Anna University in 2019.,Bachelor of Technology,Bachelor of Engineering,Electrical Engineering,Electrical Engineering,review_needed,L3,0.75,75.0,wrong_degree
"Education: 4-Year BTech, electengg, IIM Ahmedabad, batch of 2022.",Bachelor of Technology,Bachelor of Technology,Electrical Engineering,,fuzzy_matched,L2,0.89,89.0,wrong_field
Graduate of Jadavpur University; qualification 4-YEAR B.TECH (Elect Engg).,Bachelor of Technology,Bachelor of Science,Electrical Engineering,Electrical Engineering,review_needed,L3,0.5,50.0,wrong_degree
4-Year B.Tech (Hons) - electricalandelectronics - VIT Vellore - 2024,Bachelor of Technology,Bachelor of Technology,Electrical Engineering,,resolved,L1,1.0,100,wrong_field
Isha holds a 4-Year BTech degree in Mech.,Bachelor of Technology,Bachelor of Engineering,Mechanical Engineering,Mechanical Engineering,review_needed,L2,0.7163,71.6,wrong_degree
Graduate of VIT Vellore; qualification 4-Year B.Tech (Hons) (mechengg).,Bachelor of Technology,Bachelor of Science,Mechanical Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Rohan holds a 4-YEAR B.TECH degree in civilengg.,Bachelor of Technology,Bachelor of Science,Civil Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
"Education: 4-Year B.Tech (Hons), Civil Engg., VIT Vellore, batch of 2024.",Bachelor of Technology,Bachelor of Science,Civil Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Graduate of Manipal University; qualification B.TECH/BE (civilengineering).,Bachelor of Technology,Bachelor of Engineering,Civil Engineering,,review_needed,L3,0.75,75.0,wrong_degree_and_field
I completed my 4-Year BTech in Chemical from IIM Ahmedabad in 2022.,Bachelor of Technology,Bachelor of Engineering,Chemical Engineering,,review_needed,L2,0.7017,70.2,wrong_degree_and_field
Currently pursuing 4-YEAR B.TECH with specialization in che at Jadavpur University.,Bachelor of Technology,YEAR B.TECH with specialization,Chemical Engineering,Chemical Engineering,review_needed,L3,0.62,62.0,wrong_degree
