raw_input,expected_degree,predicted_degree,expected_field,predicted_field,status,layer_used,confidence,fuzzy_score,error_category
X (Ho,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
SCS (Hons),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
mat,10th Standard,Master of Arts,,,review_needed,L2,0.8,80.0,wrong_degree
Mat Hons,10th Standard,Master of Arts,,,review_needed,L2,0.8,80.0,wrong_degree
SCS Hons,10th Standard,SCS Hons,,,review_needed,L3,0.5,50.0,wrong_degree
Mat,10th Standard,Master of Arts,,,review_needed,L2,0.8,80.0,wrong_degree
10thSt,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
MAT,10th Standard,Master of Arts,,,review_needed,L2,0.8,80.0,wrong_degree
X Hns,10th Standard,X Hns,,,review_needed,L3,0.5,50.0,wrong_degree
X oHns,10th Standard,X oHns,,,review_needed,L3,0.5,50.0,wrong_degree
+2 oHns,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
HCS Hons,12th Standard,HCS Hons,,,review_needed,L3,0.5,50.0,wrong_degree
Plu,12th Standard,Plu,,,review_needed,L3,0.5,50.0,wrong_degree
HCS (Hons),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
12thSt,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
ICS Hons,12th Standard,ICS Hons,,,review_needed,L3,0.5,50.0,wrong_degree
ICS (Hons),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B. A. (Ho,Bachelor of Arts,Bachelor of Computer Applications,,,review_needed,L2,0.742,74.2,wrong_degree
Bachelo,Bachelor of Arts,Bachelo,,,review_needed,L3,0.5,50.0,wrong_degree
B. A. oHns,Bachelor of Arts,Bachelor of Computer Applications,,,review_needed,L2,0.7029,70.3,wrong_degree
BHAons,Bachelor of Arts,Bachelor of Engineering,,,review_needed,L2,0.8333,83.3,wrong_degree
B. cS - Banking and Finance,Bachelor of Business Administration,Bachelor of Science,Banking and Finance,Banking and Finance,review_needed,L2,0.75,75.0,wrong_degree
B.cS - Finance,Bachelor of Business Administration,,Finance,Finance,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BSc Hns / Human Resources Management,Bachelor of Business Administration,Bachelor of Science,Human Resources Management,Human Resources Management,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons / Human Resources Management,Bachelor of Business Administration,,Human Resources Management,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BSC n Banking and Finance,Bachelor of Business Administration,Bachelor of Business Administration,Banking and Finance,,fuzzy_matched,L2,0.9854,98.5,wrong_field
BCS in Banking and Finance,Bachelor of Business Administration,BCS in Banking and Finance,Banking and Finance,Banking and Finance,review_needed,L3,0.62,62.0,wrong_degree
BcS (Human Resources Management),Bachelor of Business Administration,,Human Resources Management,,review_needed,L3,0.35,35.0,wrong_degree_and_field
BSc (Human Resources Manag,Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9091,90.9,wrong_field
BcS (Banking and Finance),Bachelor of Business Administration,,Banking and Finance,Banking and Finance,review_needed,L3,0.35,35.0,wrong_degree
BSc (Banking and Fina,Bachelor of Business Administration,Bachelor of Business Administration,Banking and Finance,,fuzzy_matched,L2,0.9302,93.0,wrong_field
BcS - International Business,Bachelor of Business Administration,,International Business,International Business,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"BCS, Entrepreneurship",Bachelor of Business Administration,,Entrepreneurship,Entrepreneurship,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BcS (Commerce),Bachelor of Business Administration,,Commerce,Commerce,review_needed,L3,0.35,35.0,wrong_degree
BSc (Comm,Bachelor of Business Administration,Bachelor of Science,Commerce,,review_needed,L2,0.8409,84.1,wrong_degree_and_field
Bachelor of Business Administration (Banking and Fina,Bachelor of Business Administration,Bachelor of Business Administration,Banking and Finance,,fuzzy_matched,L2,0.972,97.2,wrong_field
BSc n Accounting,Bachelor of Business Administration,Bachelor of Business Administration,Accounting,,fuzzy_matched,L2,0.9767,97.7,wrong_field
BcS in Accounting,Bachelor of Business Administration,BcS in Accounting,Accounting,Accounting,review_needed,L3,0.62,62.0,wrong_degree
B.Sc. n Business Administration,Bachelor of Business Administration,Bachelor of Business Administration,Business Administration,,fuzzy_matched,L2,0.9875,98.8,wrong_field
B.cS. in Business Administration,Bachelor of Business Administration,,Business Administration,Business Administration,review_needed,L3,0.35,35.0,wrong_degree
BCS - Operations Management,Bachelor of Business Administration,,Operations Management,Operations Management,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
